symbol,date,minute,marketOpen,marketHigh,marketLow,marketClose,marketVolume,marketNumberOfTrades
UGAZ,2019-09-11,09:30,20.34,20.37,20.15,20.16,147576,326
UGAZ,2019-09-11,09:31,20.15,20.23,20.131,20.17,54232,111
UGAZ,2019-09-11,09:32,20.166,20.27,20.12,20.16,83795,189
UGAZ,2019-09-11,09:33,20.168,20.32,20.168,20.27,85320,135
UGAZ,2019-09-11,09:34,20.27,20.34,20.259,20.29,42926,100
UGAZ,2019-09-11,09:35,20.3,20.3,20.1,20.16,99327,215
UGAZ,2019-09-11,09:36,20.162,20.22,20.13,20.184,46603,76
UGAZ,2019-09-11,09:37,20.189,20.25,20.184,20.232,23287,60
UGAZ,2019-09-11,09:38,20.22,20.4,20.22,20.378,95980,264
UGAZ,2019-09-11,09:39,20.37,20.42,20.35,20.38,40573,113
UGAZ,2019-09-11,09:40,20.39,20.45,20.37,20.43,24348,64
UGAZ,2019-09-11,09:41,20.406,20.426,20.327,20.382,21310,54
UGAZ,2019-09-11,09:42,20.381,20.431,20.38,20.431,17716,59
UGAZ,2019-09-11,09:43,20.432,20.49,20.41,20.42,74955,270
UGAZ,2019-09-11,09:44,20.41,20.47,20.377,20.4,42780,184
UGAZ,2019-09-11,09:45,20.41,20.41,20.27,20.29,29256,118
UGAZ,2019-09-11,09:46,20.272,20.35,20.27,20.3,15119,77
UGAZ,2019-09-11,09:47,20.294,20.34,20.29,20.3,28700,97
UGAZ,2019-09-11,09:48,20.296,20.296,20.2,20.25,29923,100
UGAZ,2019-09-11,09:49,20.27,20.33,20.25,20.33,15158,80
UGAZ,2019-09-11,09:50,20.33,20.36,20.29,20.3,15801,64
UGAZ,2019-09-11,09:51,20.3,20.39,20.28,20.38,20076,63
UGAZ,2019-09-11,09:52,20.37,20.47,20.36,20.45,30406,107
UGAZ,2019-09-11,09:53,20.46,20.48,20.45,20.466,17966,63
UGAZ,2019-09-11,09:54,20.468,20.48,20.45,20.464,18661,25
UGAZ,2019-09-11,09:55,20.47,20.48,20.41,20.414,24917,62
UGAZ,2019-09-11,09:56,20.418,20.46,20.37,20.44,50003,133
UGAZ,2019-09-11,09:57,20.45,20.45,20.4,20.44,19695,35
UGAZ,2019-09-11,09:58,20.456,20.456,20.37,20.37,5937,18
UGAZ,2019-09-11,09:59,20.38,20.41,20.37,20.39,36235,20
